,Sweden_F_1910_homo,Denmark_M_1900_homo,Denmark_M_1890_homo,mice_F,mice_M,yeast,celegans,ecoli,cats_BPH,drosophila_853,drosophila_707,drosophila_441,drosophila_217,Sweden_M_1910_hetro,Sweden_F_1910_hetro,Denmark_M_1900_hetro,Denmark_M_1890_hetro,Denmark_F_1900_hetro,Denmark_F_1890_hetro,Staffy_vetCompass,Labradors_vetCompass,Jack_Russell_vetCompass,German_Shepherd_vetCompass,Guiniea_pig_VC,cats_vp_M,cats_vp_F,combined_human_F,combined_human_M,drosophila_M22_25deg,Wdah_chronic2,Wdah_chronic,Wdah_control,drosophila_136,drosophila_195,drosophila_105
epsilon/beta^2,0.161,0.639,0.948,3.531,62.922,69.618,0.529,0.000969,9.749,0.0122,9.187,1.44,759530.949,3.802,0.207,1.735,0.445,0.709,0.851,3.152,1.407,0.00926,65.458,19.096,5.614,1.619,0.843,0.424,12165.762,0.0556,0.0407,0.439,1.335,15280.653,25.234
k/beta,0.893,0.628,1.036,0.643,3.395,0.0027,0.25,0.000872,2.047,0.0102,0.3,0.0361,0.333,3.313,0.668,0.617,1.087,0.581,0.784,0.64,0.773,0.702,2.235,1.55,1.434,2.246,0.785,1.091,0.152,0.0134,0.0113,0.0108,0.204,0.333,0.027
k^2/epsilon,4.96,0.617,1.133,0.117,0.183,1.04E-07,0.118,0.000786,0.43,0.0086,0.00977,0.000906,1.46E-07,2.886,2.156,0.219,2.659,0.476,0.723,0.13,0.425,53.139,0.0763,0.126,0.366,3.116,0.678,2.612,1.91E-06,0.00321,0.00312,0.000265,0.0313,7.28E-06,2.88E-05
best fit no ext hazard_MedianLifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best fit no ext hazard_MaxLifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best fit_MedianLifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best fit_MaxLifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_MedianLifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_MaxLifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML_lnprob,-385019.4184,-356549.7793,-332119.0108,-23782.52043,-18452.72035,-90121.12894,-17158.07183,-49914.22568,-60558.09143,-4032.985623,-3412.844187,-3836.29993,-2812.106954,-377729.8499,-384645.752,-356253.4389,-331778.0912,-370794.7648,-346955.2377,-17573.37663,-20998.55884,-12669.05477,-8450.484467,-4923.74078,-21910.35507,-20437.24889,,,-5330.2054,-1517.128,-1341.9137,-1902.5197,-3597.4853,-1908.1813,-3203.0567
ExtH,6.979,8.208,7.634,,,,,,4.04,,,,,7.015,7.206,7.729,7.987,7.833,7.479,5.434,6.161,5.577,4.956,,4.614,4.622,,,,,,,,,
eta_xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epsilon_xc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eta/xc,,,,2.44E-05,7.88E-06,0.122,0.0102,23.056,1.30E-06,0.126,0.00334,0.00271,0.00166,3.09E-07,2.78E-06,7.22E-07,1.78E-06,1.34E-06,1.17E-06,3.78E-06,6.75E-06,4.85E-05,8.11E-07,3.50E-06,1.76E-06,3.70E-06,1.16E-06,1.80E-06,0.00235,0.012,0.0131,0.00273,0.00355,0.00166,0.00105
beta/xc,,,,0.0212,0.00424,0.0304,0.0653,179.332,0.0113,12.807,0.0125,0.0793,0.000122,0.011,0.118,0.0268,0.0747,0.0539,0.0483,0.0265,0.0455,1.608,0.00294,0.0102,0.0188,0.0436,0.0489,0.0759,0.000779,1.068,1.178,0.16,0.11,0.000673,0.0212
epsilon/xc^2,,,,0.00168,0.000716,0.0643,0.00511,11.644,0.00125,0.658,0.009,0.00574,0.00212,0.000464,0.0029,0.00124,0.00248,0.00206,0.00198,0.00221,0.00292,0.0239,0.000281,0.00163,0.00199,0.00307,0.00202,0.00246,0.00739,0.0635,0.0564,0.0106,0.00656,0.0018,0.00441
k/xc,,,,0.0168,0.0117,8.19E-05,0.0113,0.113,0.0232,0.136,0.00254,0.00123,0.000118,0.0366,0.079,0.0165,0.0812,0.0313,0.0379,0.017,0.0352,1.128,0.00255,0.021,0.027,0.0979,0.0388,0.0791,0.000119,0.0143,0.0133,0.00381,0.00174,0.00948,0.000283
