,mice_F,mice_F 95% CI,mice_M,mice_M 95% CI,yeast,yeast 95% CI,celegans,celegans 95% CI,ecoli,ecoli 95% CI,drosophila_853,drosophila_853 95% CI,drosophila_707,drosophila_707 95% CI,drosophila_441,drosophila_441 95% CI,drosophila_217,drosophila_217 95% CI,Sweden_M_1910_hetro,Sweden_M_1910_hetro 95% CI,Sweden_F_1910_homo,Sweden_F_1910_homo 95% CI,Sweden_F_1910_hetro,Sweden_F_1910_hetro 95% CI,Denmark_M_1900_hetro,Denmark_M_1900_hetro 95% CI,Denmark_M_1900_homo,Denmark_M_1900_homo 95% CI,Denmark_M_1890_hetro,Denmark_M_1890_hetro 95% CI,Denmark_M_1890_homo,Denmark_M_1890_homo 95% CI,Denmark_F_1900_hetro,Denmark_F_1900_hetro 95% CI,Denmark_F_1890_hetro,Denmark_F_1890_hetro 95% CI,Staffy_vetCompass,Staffy_vetCompass 95% CI,Labradors_vetCompass,Labradors_vetCompass 95% CI,Jack_Russell_vetCompass,Jack_Russell_vetCompass 95% CI,German_Shepherd_vetCompass,German_Shepherd_vetCompass 95% CI,Guiniea_pig_VC,Guiniea_pig_VC 95% CI,cats_BPH,cats_BPH 95% CI,combined_human_F,combined_human_F 95% CI,combined_human_M,combined_human_M 95% CI,cats_vp_M,cats_vp_M 95% CI,cats_vp_F,cats_vp_F 95% CI
eta*xc/epsilon,0.0154,"[0.0132, 0.0171]",0.0114,"[0.0104, 0.012]",1.898,"[1.851, 1.902]",1.985,"[1.669, 2.21]",1.988,"[1.942, 2.036]",0.196,"[0.182, 0.219]",0.357,"[0.323, 0.394]",0.527,"[0.432, 0.655]",0.775,"[0.709, 0.847]",0.000663,"[0.000652, 0.000675]",0.000458,"[0.000454, 0.000461]",0.000922,"[0.00087, 0.00094]",0.000582,"[0.000578, 0.000587]",0.000333,"[0.00033, 0.000335]",0.000725,"[0.000708, 0.000742]",0.000344,"[0.000342, 0.000346]",0.000654,"[0.000643, 0.000664]",0.00059,"[0.000581, 0.0006]",0.00157,"[0.0015, 0.00179]",0.00233,"[0.00218, 0.0027]",0.00156,"[0.00135, 0.00187]",0.00359,"[0.00269, 0.00479]",0.00209,"[0.00183, 0.00251]",0.00109,"[0.00108, 0.0011]",0.000578,"[0.000566, 0.00059]",0.000673,"[0.000626, 0.000689]",0.00089,"[0.000859, 0.000896]",0.0012,"[0.00105, 0.00127]"
Fx=beta^2/eta*xc,11.233,"[5.965, 28.025]",1.456,"[0.789, 2.687]",0.00762,"[2.21e-05, 0.0119]",0.428,"[0.253, 1.528]",1444.238,"[294.883, 1950.641]",952.037,"[65.802, 1578.307]",0.0894,"[9.88e-05, 0.463]",1.306,"[0.215, 4.064]",0.00014,"[5.45e-07, 0.0251]",390.079,"[376.461, 404.189]",11562.621,"[11252.245, 11881.558]",4966.616,"[4562.946, 5108.957]",1011.585,"[984.195, 1039.737]",4588.093,"[4382.395, 4803.446]",3097.716,"[2984.632, 3215.085]",2124.364,"[2062.772, 2187.794]",2119.235,"[2052.51, 2188.129]",1963.936,"[1894.58, 2035.83]",1321.287,"[75.043, 3667.554]",132.697,"[61.892, 319.924]",1908.377,"[10.437, 31820.219]",2.313,"[0.364, 17.264]",24.695,"[8.027, 75.975]",112.564,"[105.963, 119.576]",1847.096,"[1775.936, 1921.108]",1583.517,"[1515.282, 1807.217]",203.817,"[1.461, 367.287]",506.722,"[100.304, 638.65]"
Dx =beta*epsilon/eta*xc^2,0.969,"[0.568, 2.443]",0.276,"[0.164, 0.414]",0.0161,"[0.000808, 0.0201]",0.0319,"[0.0245, 0.097]",89.191,"[26.237, 98.494]",66.255,"[5.633, 77.545]",0.0512,"[0.00151, 0.131]",0.0789,"[0.0249, 0.274]",0.00122,"[3.49e-05, 0.00878]",16.945,"[16.552, 17.347]",320.135,"[313.198, 327.225]",124.173,"[121.478, 126.928]",45.72,"[44.698, 46.765]",250.745,"[241.755, 260.07]",102.646,"[100.253, 105.097]",120.936,"[117.919, 124.03]",84.921,"[82.747, 87.152]",81.953,"[80.043, 83.908]",81.37,"[9.082, 114.287]",9.171,"[4.193, 20.061]",71.968,"[1.88, 402.849]",0.258,"[0.0491, 1.352]",3.456,"[1.653, 11.374]",10.63,"[10.153, 11.13]",79.604,"[77.278, 82.001]",67.457,"[65.627, 69.339]",20.798,"[0.604, 35.175]",37.261,"[10.106, 60.498]"
Pk=beta*k/epsilon,0.178,"[0.0252, 0.541]",0.0739,"[0.00194, 0.117]",3.99e-05,"[3.72e-05, 4.28e-05]",0.1,"[0.0104, 0.526]",1.807,"[0.862, 2.45]",2.682,"[0.258, 4.082]",0.0027,"[2.21e-06, 0.0472]",0.0162,"[0.00264, 0.126]",9.01e-06,"[2.08e-07, 0.0048]",0.87,"[0.828, 0.914]",5.342,"[5.131, 5.562]",3.163,"[3.028, 3.303]",0.364,"[0.349, 0.381]",1.018,"[0.968, 1.07]",2.41,"[2.262, 2.569]",1.137,"[1.095, 1.182]",0.84,"[0.807, 0.875]",0.874,"[0.829, 0.922]",1.304,"[0.0835, 20.389]",0.549,"[0.099, 0.808]",1.011,"[0.0422, 80.493]",0.0122,"[0.00249, 0.215]",0.0612,"[0.00597, 0.421]",0.203,"[0.0111, 0.289]",0.874,"[0.829, 0.922]",0.917,"[0.855, 0.984]",0.254,"[0.203, 0.318]",1.402,"[0.0892, 1.801]"
Fk=beta^2/eta*k,753.466,"[443.926, 5241.926]",197.388,"[70.023, 3769.775]",87.172,"[77.17, 98.47]",395.024,"[30.527, 874.398]",12050.826,"[7102.336, 12390.872]",9057.96,"[2434.453, 10751.282]",50.718,"[0.322, 712.625]",1781.174,"[104.177, 3142.631]",0.21,"[0.00319, 142.425]",10599.318,"[10353.614, 10850.853]",77116.92,"[75731.007, 78528.196]",65167.097,"[63819.92, 66542.712]",61354.735,"[59821.536, 62927.229]",90913.116,"[87938.461, 93988.392]",37767.583,"[36796.555, 38764.235]",34835.095,"[34064.694, 35622.919]",70007.511,"[68297.283, 71760.566]",51983.006,"[50592.448, 53411.786]",15878.04,"[4013.476, 21907.102]",3949.85,"[3196.9, 9601.904]",21499.561,"[784.855, 27734.306]",1424.109,"[106.172, 8267.174]",8181.888,"[323.735, 17949.076]",4257.222,"[1114.642, 10528.425]",52053.111,"[50581.854, 53567.161]",46517.396,"[45321.405, 50298.087]",7304.643,"[5144.065, 13104.485]",5196.008,"[1033.652, 14772.339]"
Dk =beta*epsilon/eta*k^2,49516.427,"[365.455, 230654.415]",1975.989,"[1086.105, 1694672.203]",2263741.357,"[2021626.313, 2534852.707]",7987.52,"[58.657, 119767.341]",6877.514,"[3582.669, 8838.207]",3617.977,"[816.494, 32301.299]",103302.36,"[119.29, 9114487.958]",280462.732,"[1295.703, 678100.523]",204956.033,"[26.116, 7559863.858]",12805.06,"[12047.655, 13610.081]",13699.687,"[13059.686, 14371.053]",18780.419,"[17804.712, 19809.594]",166167.275,"[155853.535, 177163.535]",93420.729,"[86957.043, 100364.873]",14737.448,"[13751.606, 15793.963]",31228.741,"[29679.003, 32859.401]",80951.947,"[76386.217, 85790.579]",54177.338,"[50663.809, 57934.53]",13458.642,"[213.378, 168893.317]",16464.98,"[1729.026, 98360.077]",16915.035,"[336.265, 142462.172]",161387.558,"[854.767, 1911901.134]",232266.557,"[1039.253, 2230523.602]",21309.367,"[4152.621, 295899.263]",61952.282,"[57934.53, 75755.957]",53696.852,"[42893.523, 57871.917]",31392.832,"[21592.875, 53010.086]",3758.499,"[517.977, 165263.661]"
Fk^2/Dk=beta^3/eta*epsilon,172.907,"[90.254, 398.872]",7.305,"[3.194, 16.705]",0.00361,"[0.00316, 0.00414]",23.141,"[7.702, 38.155]",20461.808,"[6021.333, 21579.525]",24166.673,"[1055.502, 32124.117]",0.144,"[2.88e-06, 1.575]",25.721,"[2.125, 59.051]",2.19e-06,"[2.72e-09, 0.0413]",9055.62,"[8588.363, 9548.298]",419159.068,"[403250.012, 435695.769]",197542.77,"[188712.904, 206785.786]",21472.358,"[20788.482, 22178.732]",84499.676,"[79742.525, 89540.62]",99338.407,"[93085.976, 106010.803]",38416.347,"[37072.54, 39808.864]",55615.457,"[53360.687, 57965.504]",47436.977,"[45027.655, 49975.216]",20683.002,"[914.826, 184708.806]",5073.451,"[825.721, 5455.597]",35786.587,"[663.067, 121331.702]",22.151,"[2.86, 212.851]",138.157,"[36.188, 672.921]",833.0,"[33.18, 1635.388]",39959.986,"[37871.599, 42163.534]",41247.777,"[38367.183, 44344.646]",1834.901,"[24.473, 3877.929]",7016.16,"[1036.86, 10804.495]"
epsilon/beta^2,4.979,"[2.063, 10.492]",57.937,"[31.674, 105.974]",68.208,"[62.28, 74.7]",0.337,"[0.273, 1.993]",0.000978,"[0.000613, 0.00283]",0.0053,"[0.00368, 0.0583]",29.538,"[5.203, 54731.02]",1.326,"[0.558, 7.003]",8720.207,"[65.485, 5084379.976]",3.812,"[3.627, 4.007]",0.162,"[0.156, 0.167]",0.203,"[0.195, 0.212]",1.778,"[1.726, 1.831]",0.644,"[0.617, 0.674]",0.461,"[0.434, 0.489]",0.92,"[0.892, 0.948]",0.722,"[0.695, 0.75]",0.817,"[0.779, 0.858]",0.478,"[0.213, 5.995]",1.39,"[1.315, 6.182]",0.37,"[0.0101, 50.254]",117.194,"[19.615, 513.101]",17.473,"[5.435, 56.171]",9.321,"[7.006, 136.459]",0.932,"[0.886, 1.082]",0.935,"[0.875, 0.999]",5.7,"[3.12, 466.342]",1.635,"[1.286, 8.777]"
k/beta,0.659,"[0.15, 2.666]",3.47,"[0.15, 7.717]",0.00257,"[0.00238, 0.00278]",0.247,"[0.0051, 0.73]",0.00089,"[0.000872, 0.00103]",0.0135,"[0.00995, 0.0367]",0.0985,"[0.00995, 1.828]",0.0348,"[0.00995, 0.187]",0.613,"[0.00995, 12.869]",3.322,"[3.243, 3.403]",0.888,"[0.87, 0.907]",0.665,"[0.651, 0.679]",0.62,"[0.604, 0.636]",0.636,"[0.615, 0.658]",1.069,"[1.043, 1.096]",1.022,"[1.001, 1.044]",0.589,"[0.575, 0.604]",0.785,"[0.763, 0.808]",0.643,"[0.438, 3.201]",0.793,"[0.515, 1.672]",0.709,"[0.438, 4.716]",1.182,"[0.438, 20.668]",1.634,"[0.182, 7.713]",2.034,"[1.008, 5.567]",0.785,"[0.763, 0.808]",0.761,"[0.742, 0.822]",1.471,"[0.902, 3.492]",2.199,"[0.518, 3.631]"
k^2/epsilon,0.121,"[0.00254, 3.652]",0.186,"[0.000312, 0.974]",1.03e-07,"[9.44e-08, 1.13e-07]",0.122,"[6.43e-05, 0.386]",0.000825,"[0.0003, 0.00159]",0.0406,"[0.00186, 0.107]",7.98e-05,"[4.57e-08, 0.0396]",0.000298,"[4.15e-05, 0.0256]",1.13e-06,"[4.85e-08, 0.0144]",2.89,"[2.711, 3.08]",4.727,"[4.478, 4.989]",2.06,"[1.947, 2.181]",0.206,"[0.193, 0.22]",0.653,"[0.605, 0.705]",2.706,"[2.514, 2.914]",1.094,"[1.034, 1.156]",0.469,"[0.442, 0.498]",0.678,"[0.632, 0.728]",0.786,"[0.0344, 78.37]",0.448,"[0.0574, 2.97]",0.857,"[0.0514, 60.827]",0.0116,"[0.00109, 3.052]",0.0136,"[0.00122, 3.163]",0.445,"[0.0153, 1.055]",0.678,"[0.632, 0.839]",0.719,"[0.663, 0.916]",0.35,"[0.235, 0.609]",2.993,"[0.0159, 6.207]"
